"","word","freq"
"digcitculture","digcitculture",406
"https","https",406
"t.co","t.co",398
"digital","digital",213
"citizenship","citizenship",172
"sbcss_edtech","sbcss_edtech",158
"summit","summit",103
"today","today",83
"thatdopeteacher","thatdopeteacher",75
"great","great",72
"suethotz","suethotz",71
"digcit","digcit",67
"digitalcitizenship","digitalcitizenship",63
"trpatel20","trpatel20",52
"day","day",49
"edtechcjusd","edtechcjusd",46
"learning","learning",45
"students","students",45
"simonometry","simonometry",42
"edtech","edtech",42
"can","can",41
"thank","thank",40
"district","district",39
"culture","culture",38
"iacue","iacue",38
"team","team",37
"msbcss","msbcss",34
"important","important",33
"lucykirchh","lucykirchh",33
"one","one",33
"shavon528","shavon528",33
"families","families",32
"amp","amp",31
"know","know",30
"commonsense","commonsense",30
"working","working",29
"sharing","sharing",26
"nearpod","nearpod",25
"ideas","ideas",25
"cue","cue",24
"iluvteaching72","iluvteaching72",23
"it’s","it’s",23
"media","media",23
"amazing","amazing",23
"sbcss","sbcss",23
"joefuertsch","joefuertsch",22
"love","love",22
"librarians","librarians",22
"school","school",21
"educators","educators",21
"thanks","thanks",21
"positive","positive",21
"importance","importance",20
"plans","plans",20
"coltonjusd","coltonjusd",20
"hilz2teach","hilz2teach",20
"betholshewsky","betholshewsky",20
"awesome","awesome",19
"work","work",18
"event","event",18
"see","see",18
"time","time",18
"teacher","teacher",18
"excited","excited",18
"question","question",18
"sure","sure",17
"text","text",17
"think","think",17
"creating","creating",17
"building","building",17
"check","check",16
"room","room",16
"flocabulary","flocabulary",16
"making","making",16
"teachers","teachers",16
"done","done",15
"twitter","twitter",15
"districts","districts",15
"tech","tech",15
"support","support",15
"lessons","lessons",15
"social","social",15
"look","look",15
"discussing","discussing",15
"just","just",14
"free","free",14
"commonsenseed","commonsenseed",14
"apps","apps",14
"around","around",14
"video","video",14
"idea","idea",14
"use","use",14
"take","take",14
"create","create",14
"going","going",13
"brainstorming","brainstorming",13
"fill","fill",13
"week","week",13
"good","good",13
"family","family",13
"way","way",13
"conversation","conversation",13
"schools","schools",13
"together","together",13
"session","session",13
"lozaleadlearner","lozaleadlearner",13
"join","join",12
"might","might",12
"shout","shout",12
"presenting","presenting",12
"place","place",12
"build","build",12
"digcitweek","digcitweek",12
"covered","covered",12
"using","using",12
"shared","shared",12
"learn","learn",12
"involving","involving",12
"back","back",12
"ways","ways",12
"cjusd","cjusd",11
"fusdtandl","fusdtandl",11
"level","level",11
"pln","pln",11
"roadgrme8l","roadgrme8l",11
"k8applebee","k8applebee",11
"need","need",11
"new","new",11
"resources","resources",11
"sbcss_famengage","sbcss_famengage",11
"kellivanv","kellivanv",10
"weekly","weekly",10
"share","share",10
"derekrouch","derekrouch",10
"getting","getting",10
"journey","journey",10
"world","world",10
"three","three",10
"parents","parents",10
"bring","bring",10
"make","make",10
"now","now",10
"iledchat","iledchat",9
"p.m","p.m",9
"cst","cst",9
"discuss","discuss",9
"ideail","ideail",9
"lead","lead",9
"get","get",9
"maggiebunten","maggiebunten",9
"model","model",9
"starting","starting",9
"morongounified","morongounified",9
"usd","usd",9
"many","many",9
"representing","representing",9
"fontanaunified","fontanaunified",9
"site","site",9
"start","start",9
"friends","friends",9
"dig","dig",9
"implement","implement",9
"first","first",9
"follow","follow",9
"community","community",8
"loved","loved",8
"much","much",8
"kids","kids",8
"educolor","educolor",8
"leaders","leaders",8
"library","library",8
"strong","strong",8
"allows","allows",8
"jenwags1","jenwags1",8
"real","real",8
"taking","taking",8
"parent","parent",8
"behind","behind",8
"levels","levels",8
"youtube","youtube",8
"also","also",8
"jane_ogle","jane_ogle",8
"cnusd","cnusd",8
"commonsensemedia","commonsensemedia",8
"erhsofficial","erhsofficial",8
"success","success",8
"privacy","privacy",8
"told","told",7
"knowledge","knowledge",7
"came","came",7
"everyone","everyone",7
"happy","happy",7
"we’re","we’re",7
"ready","ready",7
"sustain","sustain",7
"want","want",7
"mind","mind",7
"discussion","discussion",7
"alhs_library","alhs_library",7
"got","got",7
"what’s","what’s",7
"keep","keep",7
"tory","tory",7
"spend","spend",7
"data","data",7
"non","non",7
"socal","socal",7
"engaging","engaging",7
"veronicaginorio","veronicaginorio",7
"teen","teen",7
"kicking","kicking",6
"trpatel","trpatel",6
"care","care",6
"blown","blown",6
"order","order",6
"apple","apple",6
"valley","valley",6
"unified","unified",6
"websites","websites",6
"vetted","vetted",6
"job","job",6
"collaborating","collaborating",6
"conversations","conversations",6
"chaffey","chaffey",6
"joined","joined",6
"cjuhsdcommunity⁩","cjuhsdcommunity⁩",6
"4x6la0ezt8","4x6la0ezt8",6
"chaffeylibrary","chaffeylibrary",6
"definitely","definitely",6
"educationforall","educationforall",6
"ygodyoxrgs","ygodyoxrgs",6
"excellent","excellent",6
"student","student",6
"across","across",6
"another","another",6
"feedback","feedback",6
"mindset","mindset",6
"lots","lots",6
"systems","systems",6
"integrate","integrate",6
"happening","happening",6
"house","house",6
"informative","informative",6
"familyengagement","familyengagement",6
"communicating","communicating",6
"iste","iste",6
"beyond","beyond",6
"help","help",6
"modeling","modeling",6
"drcharronr","drcharronr",6
"resource","resource",6
"takeaway","takeaway",6
"forward","forward",6
"online","online",6
"bz4xi4v8oc","bz4xi4v8oc",5
"system","system",5
"examples","examples",5
"mslucylane1","mslucylane1",5
"workfamily","workfamily",5
"wonderful","wonderful",5
"photos","photos",5
"michael","michael",5
"favorite","favorite",5
"pleasure","pleasure",5
"uses","uses",5
"wellness","wellness",5
"two","two",5
"bassett","bassett",5
"autonomy","autonomy",5
"pharding2","pharding2",5
"really","really",5
"practicing","practicing",5
"i’ve","i’ve",5
"super","super",5
"privileged","privileged",5
"adopted","adopted",5
"meeting","meeting",5
"life","life",5
"common","common",5
"thing","thing",5
"i’d","i’d",5
"romolandsd","romolandsd",5
"connecting","connecting",5
"maybe","maybe",5
"hashtag","hashtag",5
"citicoach","citicoach",5
"digi","digi",5
"huge","huge",5
"ever","ever",5
"digit","digit",5
"put","put",5
"program","program",5
"wide","wide",5
"align","align",5
"district's","district's",5
"vision","vision",5
"grade","grade",5
"staff","staff",5
"literacy","literacy",5
"next","next",5
"future","future",5
"county","county",5
"step","step",5
"children","children",5
"pecmdp0ovb","pecmdp0ovb",5
"teens","teens",5
"smart","smart",5
